timestamp,mem_total,mem_free,mem_available,cpu_temp,cpu_usage,disk_usage,gpu_mem
2025-07-29 17:32:14,mem_total:1840096KB,mem_free:757612KB,mem_available:1305160KB,cpu_temp:56°C,cpu_usage:25.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:32:45,mem_total:1840096KB,mem_free:752824KB,mem_available:1300908KB,cpu_temp:55°C,cpu_usage:90.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:33:15,mem_total:1840096KB,mem_free:719128KB,mem_available:1275712KB,cpu_temp:56°C,cpu_usage:37.5%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:33:46,mem_total:1840096KB,mem_free:756804KB,mem_available:1305068KB,cpu_temp:55°C,cpu_usage:42.9%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:34:16,mem_total:1840096KB,mem_free:756488KB,mem_available:1304084KB,cpu_temp:55°C,cpu_usage:50.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:34:46,mem_total:1840096KB,mem_free:752204KB,mem_available:1300100KB,cpu_temp:55°C,cpu_usage:33.3%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:35:17,mem_total:1840096KB,mem_free:756576KB,mem_available:1304512KB,cpu_temp:55°C,cpu_usage:25.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:35:47,mem_total:1840096KB,mem_free:719280KB,mem_available:1275352KB,cpu_temp:55°C,cpu_usage:50.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:36:17,mem_total:1840096KB,mem_free:758372KB,mem_available:1306532KB,cpu_temp:55°C,cpu_usage:28.6%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:36:48,mem_total:1840096KB,mem_free:704588KB,mem_available:1277724KB,cpu_temp:60°C,cpu_usage:44.4%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:37:18,mem_total:1840096KB,mem_free:756052KB,mem_available:1305180KB,cpu_temp:56°C,cpu_usage:37.5%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:37:49,mem_total:1840096KB,mem_free:751508KB,mem_available:1300296KB,cpu_temp:55°C,cpu_usage:37.5%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:38:19,mem_total:1840096KB,mem_free:751948KB,mem_available:1300772KB,cpu_temp:56°C,cpu_usage:0.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:38:49,mem_total:1840096KB,mem_free:753712KB,mem_available:1302836KB,cpu_temp:56°C,cpu_usage:20.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:39:20,mem_total:1840096KB,mem_free:727520KB,mem_available:1284508KB,cpu_temp:56°C,cpu_usage:16.7%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:39:50,mem_total:1840096KB,mem_free:749288KB,mem_available:1297692KB,cpu_temp:55°C,cpu_usage:20.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:40:20,mem_total:1840096KB,mem_free:752064KB,mem_available:1300264KB,cpu_temp:56°C,cpu_usage:16.7%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:40:51,mem_total:1840096KB,mem_free:754220KB,mem_available:1302964KB,cpu_temp:55°C,cpu_usage:20.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:41:21,mem_total:1840096KB,mem_free:733324KB,mem_available:1289768KB,cpu_temp:56°C,cpu_usage:77.8%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:41:51,mem_total:1840096KB,mem_free:746600KB,mem_available:1297612KB,cpu_temp:56°C,cpu_usage:16.7%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:42:22,mem_total:1840096KB,mem_free:754012KB,mem_available:1303520KB,cpu_temp:55°C,cpu_usage:16.7%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:42:52,mem_total:1840096KB,mem_free:754988KB,mem_available:1304664KB,cpu_temp:56°C,cpu_usage:28.6%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:43:23,mem_total:1840096KB,mem_free:723676KB,mem_available:1282012KB,cpu_temp:57°C,cpu_usage:20.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:43:53,mem_total:1840096KB,mem_free:754808KB,mem_available:1304456KB,cpu_temp:56°C,cpu_usage:25.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:44:23,mem_total:1840096KB,mem_free:755512KB,mem_available:1304408KB,cpu_temp:55°C,cpu_usage:0.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:44:54,mem_total:1840096KB,mem_free:752036KB,mem_available:1301236KB,cpu_temp:55°C,cpu_usage:25.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:45:24,mem_total:1840096KB,mem_free:753296KB,mem_available:1302544KB,cpu_temp:56°C,cpu_usage:20.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:45:54,mem_total:1840096KB,mem_free:732824KB,mem_available:1290424KB,cpu_temp:57°C,cpu_usage:16.7%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:46:25,mem_total:1840096KB,mem_free:754736KB,mem_available:1303896KB,cpu_temp:55°C,cpu_usage:20.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:46:55,mem_total:1840096KB,mem_free:711340KB,mem_available:1286032KB,cpu_temp:60°C,cpu_usage:20.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:47:25,mem_total:1840096KB,mem_free:755956KB,mem_available:1306256KB,cpu_temp:57°C,cpu_usage:22.2%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:47:56,mem_total:1840096KB,mem_free:752096KB,mem_available:1302304KB,cpu_temp:56°C,cpu_usage:25.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:48:26,mem_total:1840096KB,mem_free:751636KB,mem_available:1302168KB,cpu_temp:56°C,cpu_usage:20.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:48:57,mem_total:1840096KB,mem_free:752368KB,mem_available:1303004KB,cpu_temp:55°C,cpu_usage:16.7%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:49:27,mem_total:1840096KB,mem_free:743580KB,mem_available:1302080KB,cpu_temp:57°C,cpu_usage:0.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:49:57,mem_total:1840096KB,mem_free:745292KB,mem_available:1295676KB,cpu_temp:56°C,cpu_usage:25.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:50:28,mem_total:1840096KB,mem_free:747008KB,mem_available:1297188KB,cpu_temp:55°C,cpu_usage:25.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:50:58,mem_total:1840096KB,mem_free:747068KB,mem_available:1297668KB,cpu_temp:55°C,cpu_usage:0.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:51:28,mem_total:1840096KB,mem_free:737748KB,mem_available:1296252KB,cpu_temp:56°C,cpu_usage:20.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:51:59,mem_total:1840096KB,mem_free:753208KB,mem_available:1297500KB,cpu_temp:55°C,cpu_usage:0.0%,disk_usage:40%,gpu_mem:128M
